schemeName,2018,2019,2020,2021,2022,2023,2024
Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL APR 2028 Index Fund-Direct IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Direct Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Regular Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Regular IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL + AAA PSU APR 2026 Index Fund-Direct Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+ AAA PSU APR 2026 Index Fund-Direct IDCW Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU APR 2026 Index Fund-Regular Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU APR 2026 Index Fund-Regular IDCW Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Direct Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Direct IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Regular Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Regular IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Direct Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Direct IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Regular Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Regular IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE
Aditya Birla Sun Life Crisil IBX AAA Jun-2023 Index Fund-Regular Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,INACTIVE
Aditya Birla Sun Life Crisil IBX AAA Jun-2023 Index Fund-Regular IDCW Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,INACTIVE
